Original_Rank,Person_Name,In_Degree (被標記數),Out_Degree (主動標記數),Mutual_Follow (互標數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category
57,Aries艾瑞絲,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/aries_8248/,2044,779766,943,"美食料理,表演藝術,趣味搞笑"
58,蘿潔塔的廚房,0,0,0,0.0,0.0,https://www.instagram.com/rosalina.kitchen/,389,161521,36,"美食料理,帶貨分潤"
59,瑀熙-Yuci,1,1,0,0.5025125628140703,5.1e-05,https://www.instagram.com/uccu0323/,2996,1031037,624,"旅遊,遊戲電玩"
60,這群人TGOP,2,2,0,1.0050251256281406,0.000102,https://www.instagram.com/thisgroupofpeople/,2377,634322,15,趣味搞笑
61,3cTim哥生活的日常,1,1,1,0.5025125628140703,0.0,https://www.instagram.com/3ctim/,2926,113102,486,3C科技
62,百變沛莉-Peri,0,0,0,0.0,0.0,https://www.instagram.com/peri168/,4650,160223,1082,"美妝保養,時尚潮流,家庭母嬰"
63,鹿人,0,1,0,0.0,0.0,https://www.instagram.com/twodeerman/,922,415007,208,"表演藝術,趣味搞笑"
64,關韶文,3,0,0,1.507537688442211,0.0,https://www.instagram.com/ethan_kuan_kuan/,1929,367960,501,"美妝保養,趣味搞笑,表演藝術"
65,健人蓋伊,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/gu_yuze/,829,262770,827,運動健身
66,GINA-HELLO!,0,1,0,0.0,0.0,https://www.instagram.com/ginachiki/,7076,525796,447,"美妝保養,時尚潮流,旅遊"
67,我是老爸-我不要當爸!,0,1,0,0.0,0.0,https://www.instagram.com/daddy.iam/,554,102766,301,"旅遊,美食料理"
68,蛋事超有事EggThings,0,0,0,0.0,0.0,https://www.instagram.com/egg_things/,760,230287,106,表演藝術
69,雨揚樂活家族,0,0,0,0.0,0.0,https://www.instagram.com/yu.young_fate/,4261,87182,5,綜合其他
